-,-,-
11.230469, -30.029297, 1001.953125
-25.146484, -123.291016, 1056.640625
17.578125, -71.533203, 1167.968750
-40.283203, -132.568359, 1173.828125
-10.986328, -118.408203, 1183.593750
-14.404297, -130.615234, 1131.347656
-23.681641, -120.361328, 1176.757812
-18.798828, -104.248047, 1100.585938
-10.986328, -136.474609, 1088.867188
-22.216797, -121.337891, 1096.679688
-,-,-
-26.123047, -9.521484, 955.078125
-17.822266, 0.488281, 1008.300781
17.089844, 52.734375, 1013.671875
27.832031, 58.593750, 1083.984375
25.390625, 12.695312, 1072.265625
40.527344, 67.382812, 1156.250000
89.355469, 117.675781, 1135.253906
48.339844, 73.242188, 1225.585938
49.316406, 53.710938, 1197.265625
6.835938, 18.554688, 1143.554688
1.953125, 59.570312, 1116.210938
11.230469, 86.914062, 1098.632812
44.433594, 99.609375, 1119.140625
9.765625, 88.867188, 960.937500
-13.916016, 80.078125, 958.007812
-10.986328, 60.546875, 953.125000
14.648438, 49.804688, 933.593750
19.042969, 123.535156, 933.593750
-8.056641, 66.406250, 810.546875
52.246094, 79.101562, 992.187500
78.613281, 274.414062, 961.914062
55.175781, 151.367188, 885.253906
9.765625, 83.007812, 941.406250
5.859375, 153.320312, 846.679688
8.300781, 171.875000, 846.679688
-6.103516, 107.421875, 780.273438
11.230469, 9.765625, 784.179688
15.136719, 49.804688, 832.031250
-,-,-
65.429688, 111.328125, 958.007812
121.093750, 190.917969, 922.851562
107.421875, 158.203125, 923.828125
123.535156, 133.789062, 929.687500
120.117188, 132.812500, 902.343750
113.281250, 76.171875, 852.539062
116.699219, 48.339844, 830.078125
134.765625, 27.343750, 823.242188
141.601562, 13.671875, 844.726562
138.183594, 47.363281, 855.468750
204.101562, 49.804688, 931.640625
155.761719, 39.062500, 881.347656
219.726562, 90.820312, 935.546875
209.960938, 41.992188, 1030.273438
195.800781, 31.250000, 913.085938
266.601562, 57.617188, 1123.046875
155.761719, 27.343750, 958.007812
153.320312, -9.521484, 962.890625
68.359375, -2.197266, 1041.992188
93.750000, -99.365234, 931.640625
126.953125, -88.623047, 1155.273438
77.148438, -83.740234, 1083.007812
91.796875, -106.201172, 1082.031250
72.753906, -74.462891, 1082.031250
88.378906, -93.505859, 1081.054688
136.230469, -88.623047, 1163.085938
125.000000, -75.927734, 1134.765625
121.093750, -128.662109, 1087.890625
140.136719, -118.408203, 1093.750000
-,-,-
74.218750, -138.427734, 1039.062500
88.378906, -71.533203, 1082.031250
45.410156, -113.037109, 1064.453125
70.800781, -86.669922, 1021.484375
62.011719, -48.095703, 1200.195312
51.269531, -92.529297, 1124.023438
46.875000, -82.763672, 1127.441406
53.222656, -22.216797, 1070.312500
57.128906, -43.701172, 988.281250
51.757812, -60.302734, 976.562500
49.316406, -82.763672, 1028.320312
108.398438, -6.591797, 1124.023438
109.375000, -12.451172, 1120.117188
145.019531, 11.718750, 1063.476562
44.433594, -29.052734, 988.281250
77.148438, 21.484375, 1039.062500
97.167969, -12.451172, 975.585938
64.453125, 56.640625, 898.437500
3.417969, 6.835938, 965.820312
104.492188, 129.882812, 954.101562
54.687500, 121.582031, 839.843750
60.546875, 125.976562, 873.046875
83.496094, 98.144531, 923.828125
77.636719, 121.582031, 915.039062
103.515625, 161.132812, 892.578125
62.988281, 104.492188, 874.023438
46.875000, 102.539062, 922.851562
-,-,-
11.230469, 156.250000, 967.773438
9.277344, 167.968750, 951.171875
12.695312, 167.480469, 888.671875
5.371094, 161.132812, 848.632812
44.433594, 125.976562, 816.406250
37.597656, 86.914062, 815.429688
65.429688, 104.492188, 824.218750
47.363281, 103.515625, 851.562500
40.039062, 97.167969, 879.394531
34.179688, 121.093750, 953.125000
26.855469, 124.023438, 931.640625
8.789062, 97.656250, 1001.953125
-29.052734, 89.843750, 991.210938
-11.474609, 16.601562, 1045.898438
-22.216797, 131.835938, 965.820312
-11.474609, 149.414062, 923.828125
-18.798828, 144.531250, 994.140625
-22.705078, 148.437500, 960.937500
-21.728516, 34.179688, 1047.851562
2.929688, 54.687500, 1097.656250
-12.451172, 0.488281, 1031.250000
10.742188, 40.039062, 1171.875000
-11.962891, 1.464844, 1064.453125
-2.685547, 16.601562, 1155.273438
19.531250, 21.972656, 1146.484375
15.136719, -8.544922, 1162.109375
30.273438, -10.498047, 1144.531250
-5.126953, -37.841797, 1109.375000
-,-,-
54.199219, -154.052734, 1023.437500
71.289062, -142.333984, 1015.625000
68.847656, -158.935547, 1094.726562
79.101562, -89.599609, 1225.585938
104.492188, -81.787109, 1260.253906
101.074219, -91.552734, 1154.296875
67.871094, -122.314453, 1092.773438
70.800781, -80.810547, 1058.593750
81.542969, -114.990234, 976.562500
50.292969, -130.615234, 968.750000
78.125000, -75.927734, 1047.851562
103.515625, -75.927734, 1012.207031
